table,id,action,current_ar,current_en,target_ar,target_en
db_PLAYERS,P-0054,already_bilingual,"","","Mohamed Al Mustafa","Mohamed Al Mustafa"
db_PLAYERS,P-0055,already_bilingual,"","","حمادة صدقي","Hmadh Sdqy"
db_PLAYERS,P-0056,already_bilingual,"","","Takuya Masuda","Takuya Masuda"
db_PLAYERS,P-0058,already_bilingual,"","","نور السيد","Nwr Alsyd"
db_PLAYERS,P-0059,already_bilingual,"","","Silas Katompa Mvumpa","Silas Katompa Mvumpa"
db_PLAYERS,P-0060,already_bilingual,"","","أحمد سيد غريب","Ahmd Syd Ghryb"
db_PLAYERS,P-0062,already_bilingual,"","","فالفيردي","Falfyrdy"
db_PLAYERS,P-0063,already_bilingual,"","","إبراهيم منصور","Ibrahym Mnswr"
db_PLAYERS,P-0064,already_bilingual,"","","سليمان السيد","Slyman Alsyd"
db_PLAYERS,P-0065,already_bilingual,"","","Abdulrahman Al Amaami","Abdulrahman Al Amaami"
db_PLAYERS,P-0067,already_bilingual,"","","مؤيد عجان","Mwyd Ajan"
db_PLAYERS,P-0068,already_bilingual,"","","Bala Ali","Bala Ali"
db_PLAYERS,P-0069,already_bilingual,"","","رضا محمد أحمد","Rda Mhmd Ahmd"
db_PLAYERS,P-0070,already_bilingual,"","","طارق فهيم","Tarq Fhym"
db_PLAYERS,P-0073,already_bilingual,"","","أسامة رجب","Asamh Rjb"
db_PLAYERS,P-0074,already_bilingual,"","","أحمد كرم حسن","Ahmd Krm Hsn"
db_PLAYERS,P-0075,already_bilingual,"","","ميتشيك ماريمو","Mytshyk Marymw"
db_PLAYERS,P-0076,already_bilingual,"","","فتحي مبروك","Fthy Mbrwk"
db_PLAYERS,P-0078,already_bilingual,"","","والتر بواليا","Waltr Bwalya"
db_PLAYERS,P-0079,already_bilingual,"","","وائل القباني","Wayl Alqbany"
db_PLAYERS,P-0080,already_bilingual,"","","عادل فتحي","Aadl Fthy"
db_PLAYERS,P-0082,already_bilingual,"","","السيد عبدالله","Alsyd Abdallh"
db_PLAYERS,P-0084,already_bilingual,"","","لطفي حبشي","Ltfy Hbshy"
db_PLAYERS,P-0085,already_bilingual,"","","محمد جودة","Mhmd Jwdh"
db_PLAYERS,P-0086,already_bilingual,"","","أجوجو","Ajwjw"
db_PLAYERS,P-0088,already_bilingual,"","","فراس العيفة","Fras Alayfh"
db_PLAYERS,P-0089,already_bilingual,"","","جمال حمزة","Jmal Hmzh"
db_PLAYERS,P-0090,already_bilingual,"","","تيموثى مويتوا","Tymwtha Mwytwa"
db_PLAYERS,P-0092,already_bilingual,"","","عمرو عبدالسلام","Amrw Abdalslam"
db_PLAYERS,P-0093,already_bilingual,"","","Jordan Opoku","Jordan Opoku"
db_PLAYERS,P-0094,already_bilingual,"","","عمر شندي","Amr Shndy"
db_PLAYERS,P-0095,already_bilingual,"","","حمادة شعبان","Hmadh Shaban"
db_PLAYERS,P-0097,already_bilingual,"","","Wilfried Zaha","Wilfried Zaha"
db_PLAYERS,P-0098,already_bilingual,"","","عمار خالد","Amar Khald"
db_PLAYERS,P-0099,already_bilingual,"","","محمد نديم","Mhmd Ndym"
db_PLAYERS,P-0100,already_bilingual,"","","عصام ثروت","Asam Thrwt"
db_PLAYERS,P-0102,already_bilingual,"","","سعيد عبدالعزيز","Sayd Abdalazyz"
db_PLAYERS,P-0103,already_bilingual,"","","محمد عمارة","Mhmd Amarh"
db_PLAYERS,P-0105,already_bilingual,"","","Cyril Nzama","Cyril Nzama"
db_PLAYERS,P-0106,already_bilingual,"","","أحمد السيد","Ahmd Alsyd"
db_PLAYERS,P-0107,already_bilingual,"","","Oscar Joshua","Oscar Joshua"
db_PLAYERS,P-0108,already_bilingual,"","","Meddie Kagere","Meddie Kagere"
db_PLAYERS,P-0109,already_bilingual,"","","جواكيم أوجيرا","Jwakym Awjyra"
db_PLAYERS,P-0110,already_bilingual,"","","حماد الحنبلي","Hmad Alhnbly"
db_PLAYERS,P-0112,already_bilingual,"","","محمود حمادة","Mhmwd Hmadh"
db_PLAYERS,P-0113,already_bilingual,"","","مصطفى سلطان","Mstfa Sltan"
db_PLAYERS,P-0114,already_bilingual,"","","عبداللطيف لطفي","Abdalltyf Ltfy"
db_PLAYERS,P-0115,already_bilingual,"","","علي أبو جريشة","Aly Abw Jryshh"
db_PLAYERS,P-0117,already_bilingual,"","","زقلط","Zqlt"
db_PLAYERS,P-0118,already_bilingual,"","","عصام نصر الدين","Asam Nsr Aldyn"
db_PLAYERS,P-0119,already_bilingual,"","","محمود شيكو","Mhmwd Shykw"
db_PLAYERS,P-0120,already_bilingual,"","","مجدي الصياد","Mjdy Alsyad"
db_PLAYERS,P-0121,already_bilingual,"","","أحمد عيد الصغير","Ahmd Ayd Alsghyr"
db_PLAYERS,P-0122,already_bilingual,"","","سالم","Salm"
db_PLAYERS,P-0123,already_bilingual,"","","مرعي","Mray"
db_PLAYERS,P-1344,already_bilingual,"","","Steeve Yago","Steeve Yago"
db_PLAYERS,P-0124,already_bilingual,"","","هيثم العيوني","Hythm Alaywny"
db_PLAYERS,P-0125,already_bilingual,"","","حازم إمام الكبير","Hazm Imam Alkbyr"
db_PLAYERS,P-0126,already_bilingual,"","","جمال الإمام","Jmal Alimam"
db_PLAYERS,P-0127,already_bilingual,"","","مصطفى كامل منصور","Mstfa Kaml Mnswr"
db_PLAYERS,P-0128,already_bilingual,"","","طه إسماعيل","Th Ismaayl"
db_PLAYERS,P-0129,already_bilingual,"","","فهمي جميعي","Fhmy Jmyay"
db_PLAYERS,P-0130,already_bilingual,"","","مصطفى عبده","Mstfa Abdh"
db_PLAYERS,P-0131,already_bilingual,"","","توتو","Twtw"
db_PLAYERS,P-0132,already_bilingual,"","","أحمد عيد","Ahmd Ayd"
db_PLAYERS,P-0133,already_bilingual,"","","أحمد سالم","Ahmd Salm"
db_PLAYERS,P-0134,already_bilingual,"","","علي غزال","Aly Ghzal"
db_PLAYERS,P-0136,already_bilingual,"","","Petros Mhari","Petros Mhari"
db_PLAYERS,P-0137,already_bilingual,"","","أحمد غانم سلطان","Ahmd Ghanm Sltan"
db_PLAYERS,P-0138,already_bilingual,"","","محمود حمدي","Mhmwd Hmdy"
db_PLAYERS,P-0139,already_bilingual,"","","Kevin Omondi","Kevin Omondi"
db_PLAYERS,P-0141,already_bilingual,"","","محمد أبو أمين","Mhmd Abw Amyn"
db_PLAYERS,P-0142,already_bilingual,"","","طاهر أبو زيد","Tahr Abw Zyd"
db_PLAYERS,P-0143,already_bilingual,"","","هشام رجب","Hsham Rjb"
db_PLAYERS,P-0145,already_bilingual,"","","نور الدالي","Nwr Aldaly"
db_PLAYERS,P-0146,already_bilingual,"","","علي كمال عتمان","Aly Kmal Atman"
db_PLAYERS,P-0147,already_bilingual,"","","شيكابالا","Shykabala"
db_PLAYERS,P-0148,already_bilingual,"","","رزاق سيسيه","Rzaq Sysyh"
db_PLAYERS,P-0150,already_bilingual,"","","عمار حمدي","Amar Hmdy"
db_PLAYERS,P-0151,already_bilingual,"","","David Massamba","David Massamba"
db_PLAYERS,P-0152,already_bilingual,"","","ناصر فاروق","Nasr Farwq"
db_PLAYERS,P-0153,already_bilingual,"","","عمر فرج","Amr Frj"
db_PLAYERS,P-0154,already_bilingual,"","","جابر كامل","Jabr Kaml"
db_PLAYERS,P-0156,already_bilingual,"","","حسين الفار","Hsyn Alfar"
db_PLAYERS,P-0157,already_bilingual,"","","Stanley Ngala","Stanley Ngala"
db_PLAYERS,P-0158,already_bilingual,"","","محمد مصطفى","Mhmd Mstfa"
db_PLAYERS,P-0160,already_bilingual,"","","عادل زين","Aadl Zyn"
db_PLAYERS,P-0161,already_bilingual,"","","سامسون أكينولا","Samswn Akynwla"
db_PLAYERS,P-0162,already_bilingual,"","","أحمد عسكر","Ahmd Askr"
db_PLAYERS,P-0163,already_bilingual,"","","زهير الدودي","Zhyr Aldwdy"
db_PLAYERS,P-0164,already_bilingual,"","","عماشة","Amashh"
db_PLAYERS,P-0166,already_bilingual,"","","كابيلا مبيافانجا","Kabyla Mbyafanja"
db_PLAYERS,P-0167,already_bilingual,"","","Abdullah El-Shihan","Abdullah El-shihan"
db_PLAYERS,P-0169,already_bilingual,"","","Thomas N'Kono","Thomas N'kono"
db_PLAYERS,P-0170,already_bilingual,"","","خوسيه توريلبا","Khwsyh Twrylba"
db_PLAYERS,P-0171,already_bilingual,"","","عبدالحليم علي","Abdalhlym Aly"
db_PLAYERS,P-0172,already_bilingual,"","","Aishi Salum Manula","Aishi Salum Manula"
db_PLAYERS,P-0174,already_bilingual,"","","طارق يحيى","Tarq Yhya"
db_PLAYERS,P-0175,already_bilingual,"","","عبدالرحيم خليل","Abdalrhym Khlyl"
db_PLAYERS,P-0176,already_bilingual,"","","أسامة حسني","Asamh Hsny"
db_PLAYERS,P-0177,already_bilingual,"","","إياد مدحت","Iyad Mdht"
db_PLAYERS,P-0178,already_bilingual,"","","سامي الشيشيني","Samy Alshyshyny"
db_PLAYERS,P-0180,already_bilingual,"","","شريف الخشاب","Shryf Alkhshab"
db_PLAYERS,P-0181,already_bilingual,"","","أحمد حسن كوكا","Ahmd Hsn Kwka"
db_PLAYERS,P-0182,already_bilingual,"","","ميلاكس","Mylaks"
db_PLAYERS,P-0184,already_bilingual,"","","عبده نصحي","Abdh Nshy"
db_PLAYERS,P-0185,already_bilingual,"","","محمد عبدالغني","Mhmd Abdalghny"
db_PLAYERS,P-0186,already_bilingual,"","","Timothy Dennis","Timothy Dennis"
db_PLAYERS,P-0187,already_bilingual,"","","تريزيجيه","Tryzyjyh"
db_PLAYERS,P-0189,already_bilingual,"","","كامل طه","Kaml Th"
db_PLAYERS,P-0190,already_bilingual,"","","Bertrand Traoré","Bertrand Traoré"
db_PLAYERS,P-0191,already_bilingual,"","","عمر الساعي","Amr Alsaay"
db_PLAYERS,P-0193,already_bilingual,"","","محمد طلعت","Mhmd Tlat"
db_PLAYERS,P-0194,already_bilingual,"","","محمد حمدي زكي","Mhmd Hmdy Zky"
db_PLAYERS,P-0195,already_bilingual,"","","فوزي السكوتي","Fwzy Alskwty"
db_PLAYERS,P-0196,already_bilingual,"","","Emmanuel Okwi","Emmanuel Okwi"
db_PLAYERS,P-0198,already_bilingual,"","","مصطفى رياض","Mstfa Ryad"
db_PLAYERS,P-0199,already_bilingual,"","","حمص","Hms"
db_PLAYERS,P-0200,already_bilingual,"","","ياسر الكيناني","Yasr Alkynany"
db_PLAYERS,P-0202,already_bilingual,"","","أيمن أشرف","Aymn Ashrf"
db_PLAYERS,P-0203,already_bilingual,"","","Themba Zwane","Themba Zwane"
db_PLAYERS,P-0204,already_bilingual,"","","أسامة عرابي","Asamh Araby"
db_PLAYERS,P-0206,already_bilingual,"","","أنس الزنيتي","Ans Alznyty"
db_PLAYERS,P-0207,already_bilingual,"","","جميل الزبير","Jmyl Alzbyr"
db_PLAYERS,P-0209,already_bilingual,"","","محمود صقر مختار","Mhmwd Sqr Mkhtar"
db_PLAYERS,P-0210,already_bilingual,"","","نيتس جراديشار","Nyts Jradyshar"
db_PLAYERS,P-0211,already_bilingual,"","","بدر حامد","Bdr Hamd"
db_PLAYERS,P-0212,already_bilingual,"","","محمد الزيات","Mhmd Alzyat"
db_PLAYERS,P-0213,already_bilingual,"","","Conor Tracey","Conor Tracey"
db_PLAYERS,P-0216,already_bilingual,"","","Alexis Yougouda","Alexis Yougouda"
db_PLAYERS,P-0218,already_bilingual,"","","عوض عبد الرحمن","Awd Abd Alrhmn"
db_PLAYERS,P-0219,already_bilingual,"","","Henry Makinwa","Henry Makinwa"
db_PLAYERS,P-0221,already_bilingual,"","","أحمد نايل","Ahmd Nayl"
db_PLAYERS,P-0222,already_bilingual,"","","محمد إسماعيل هدى","Mhmd Ismaayl Hda"
db_PLAYERS,P-0223,already_bilingual,"","","فارس حاتم","Fars Hatm"
db_PLAYERS,P-0224,already_bilingual,"","","Farag Mbarak","Farag Mbarak"
db_PLAYERS,P-0226,already_bilingual,"","","موسي ماسومبوكو","Mwsy Maswmbwkw"
db_PLAYERS,P-0227,already_bilingual,"","","عبدالعزيز توفيق","Abdalazyz Twfyq"
db_PLAYERS,P-0228,already_bilingual,"","","Jassem Khalloufi","Jassem Khalloufi"
db_PLAYERS,P-0229,already_bilingual,"","","فاروقا نور الدين","Farwqa Nwr Aldyn"
db_PLAYERS,P-0230,already_bilingual,"","","Roger Aholou","Roger Aholou"
db_PLAYERS,P-0232,already_bilingual,"","","أحمد أبو حسين","Ahmd Abw Hsyn"
db_PLAYERS,P-0233,already_bilingual,"","","محمود المحيلمي","Mhmwd Almhylmy"
db_PLAYERS,P-0235,already_bilingual,"","","محمد فاروق","Mhmd Farwq"
db_PLAYERS,P-0236,already_bilingual,"","","أحمد واحد","Ahmd Wahd"
db_PLAYERS,P-0238,already_bilingual,"","","أسامة خليل","Asamh Khlyl"
db_PLAYERS,P-0239,already_bilingual,"","","زايدي تابيسيجوا","Zaydy Tabysyjwa"
db_PLAYERS,P-0240,already_bilingual,"","","محمود المهلمي","Mhmwd Almhlmy"
db_PLAYERS,P-0242,already_bilingual,"","","عمر خضر","Amr Khdr"
db_PLAYERS,P-0243,already_bilingual,"","","Stanley Ohawuchi","Stanley Ohawuchi"
db_PLAYERS,P-0244,already_bilingual,"","","جمال مسعد","Jmal Msad"
db_PLAYERS,P-0245,already_bilingual,"","","Alain Traoré","Alain Traoré"
db_PLAYERS,P-0205,already_bilingual,"","","أحمد عبدالفتاح القديم","Ahmd Abdalftah Alqdym"
db_PLAYERS,P-0576,already_bilingual,"","","سليمان كوليبالي","Slyman Kwlybaly"
db_PLAYERS,P-0247,already_bilingual,"","","عز الدين يعقوب","Az Aldyn Yaqwb"
db_PLAYERS,P-0248,already_bilingual,"","","محمد ياسر","Mhmd Yasr"
db_PLAYERS,P-0249,already_bilingual,"","","زياد طارق","Zyad Tarq"
db_PLAYERS,P-0250,already_bilingual,"","","جون بانيرمان","Jwn Banyrman"
db_PLAYERS,P-0251,already_bilingual,"","","توتو جونيور","Twtw Jwnywr"
db_PLAYERS,P-0252,already_bilingual,"","","أحمد منصور","Ahmd Mnswr"
db_PLAYERS,P-0253,already_bilingual,"","","مصطفى شوبير","Mstfa Shwbyr"
db_PLAYERS,P-0254,already_bilingual,"","","محمود حماد","Mhmwd Hmad"
db_PLAYERS,P-0255,already_bilingual,"","","David Carney","David Carney"
db_PLAYERS,P-0256,already_bilingual,"","","حسام عبد المجيد","Hsam Abd Almjyd"
db_PLAYERS,P-0257,already_bilingual,"","","عبدالحميد معالي","Abdalhmyd Maaly"
db_PLAYERS,P-0258,already_bilingual,"","","ديانج","Dyanj"
db_PLAYERS,P-0259,already_bilingual,"","","أفشة","Afshh"
db_PLAYERS,P-0260,already_bilingual,"","","أحمد ياسر ريان","Ahmd Yasr Ryan"
db_PLAYERS,P-0261,already_bilingual,"","","محمد صديق شحتة","Mhmd Sdyq Shhth"
db_PLAYERS,P-0262,already_bilingual,"","","محمد عادل جمعة","Mhmd Aadl Jmah"
db_PLAYERS,P-0263,already_bilingual,"","","مدحت عبدالعزيز","Mdht Abdalazyz"
db_PLAYERS,P-0264,already_bilingual,"","","طلعت عبد الحميد","Tlat Abd Alhmyd"
db_PLAYERS,P-0265,already_bilingual,"","","محمد صلاح الدين","Mhmd Slah Aldyn"
db_PLAYERS,P-0266,already_bilingual,"","","عبدالله جمعة","Abdallh Jmah"
db_PLAYERS,P-0267,already_bilingual,"","","هاني","Hany"
db_PLAYERS,P-0268,already_bilingual,"","","أفريديجيه","Afrydyjyh"
db_PLAYERS,P-0269,already_bilingual,"","","Toaster Nsabata","Toaster Nsabata"
db_PLAYERS,P-0270,already_bilingual,"","","معاذ عطية","Maadh Atyh"
db_PLAYERS,P-0271,already_bilingual,"","","Zacharia Onyango","Zacharia Onyango"
db_PLAYERS,P-0272,already_bilingual,"","","هشام مصطفى","Hsham Mstfa"
db_PLAYERS,P-0273,already_bilingual,"","","حسن مصطفى","Hsn Mstfa"
db_PLAYERS,P-0274,already_bilingual,"","","Norman Maroto","Norman Maroto"
db_PLAYERS,P-0275,already_bilingual,"","","كدورة","Kdwrh"
db_PLAYERS,P-0277,already_bilingual,"","","كاسونجو كابونجو","Kaswnjw Kabwnjw"
db_PLAYERS,P-0278,already_bilingual,"","","Afouène Gharbi","Afouène Gharbi"
db_PLAYERS,P-0279,already_bilingual,"","","إسلام عبدالله","Islam Abdallh"
db_PLAYERS,P-0281,already_bilingual,"","","شكري الواعر","Shkry Alwaar"
db_PLAYERS,P-0282,already_bilingual,"","","جيفرسون إنكادا","Jyfrswn Inkada"
db_PLAYERS,P-0283,already_bilingual,"","","مصطفى فتحي","Mstfa Fthy"
db_PLAYERS,P-0284,already_bilingual,"","","جميل عثمان","Jmyl Athman"
db_PLAYERS,P-0285,already_bilingual,"","","Rashidi Yekini","Rashidi Yekini"
db_PLAYERS,P-0286,already_bilingual,"","","Ibrahim Aoudou","Ibrahim Aoudou"
db_PLAYERS,P-0287,already_bilingual,"","","الجبرتي","Aljbrty"
db_PLAYERS,P-0288,already_bilingual,"","","سيف الدين بوهرة","Syf Aldyn Bwhrh"
db_PLAYERS,P-0289,already_bilingual,"","","Jamal Omar Magoola","Jamal Omar Magoola"
db_PLAYERS,P-0290,already_bilingual,"","","OUT_PLAYER","Out_player"
db_PLAYERS,P-0292,already_bilingual,"","","بانو دياوارا","Banw Dyawara"
db_PLAYERS,P-0295,already_bilingual,"","","محمد أمين توجاي","Mhmd Amyn Twjay"
db_PLAYERS,P-0296,already_bilingual,"","","Cristiano","Cristiano"
db_PLAYERS,P-0298,already_bilingual,"","","سعد بقير","Sad Bqyr"
db_PLAYERS,P-0300,already_bilingual,"","","محمد حمدود","Mhmd Hmdwd"
db_PLAYERS,P-0302,already_bilingual,"","","Eric Gasana","Eric Gasana"
db_PLAYERS,P-0303,already_bilingual,"","","يوسف لبيب","Ywsf Lbyb"
db_PLAYERS,P-0304,already_bilingual,"","","عفت نصار","Aft Nsar"
db_PLAYERS,P-0305,already_bilingual,"","","جوزيف ماسيجا","Jwzyf Masyja"
db_PLAYERS,P-0307,already_bilingual,"","","محمد أحمد سعد","Mhmd Ahmd Sad"
db_PLAYERS,P-0308,already_bilingual,"","","السيد عطية توتو","Alsyd Atyh Twtw"
db_PLAYERS,P-0309,already_bilingual,"","","عمرو أحمد","Amrw Ahmd"
db_PLAYERS,P-0311,already_bilingual,"","","أفلينو","Aflynw"
db_PLAYERS,P-0313,already_bilingual,"","","ياسر عزت","Yasr Azt"
db_PLAYERS,P-0314,already_bilingual,"","","محمود مهران","Mhmwd Mhran"
db_PLAYERS,P-0315,already_bilingual,"","","كمال السيد","Kmal Alsyd"
db_PLAYERS,P-0316,already_bilingual,"","","حمدي أبو راضي","Hmdy Abw Rady"
db_PLAYERS,P-0317,already_bilingual,"","","رامي صبري","Ramy Sbry"
db_PLAYERS,P-0319,already_bilingual,"","","فتحي بيومي","Fthy Bywmy"
db_PLAYERS,P-0320,already_bilingual,"","","محمود الشبراوي","Mhmwd Alshbrawy"
db_PLAYERS,P-0321,already_bilingual,"","","ايدموند كوبسون","Aydmwnd Kwbswn"
db_PLAYERS,P-0322,already_bilingual,"","","ألان سيرجي","Alan Syrjy"
db_PLAYERS,P-0324,already_bilingual,"","","سمير فوزي","Smyr Fwzy"
db_PLAYERS,P-0325,already_bilingual,"","","محمد أحمد رضا","Mhmd Ahmd Rda"
db_PLAYERS,P-0326,already_bilingual,"","","مختار مختار","Mkhtar Mkhtar"
db_PLAYERS,P-0327,already_bilingual,"","","عفرتو","Afrtw"
db_PLAYERS,P-0329,already_bilingual,"","","أحمد مختار","Ahmd Mkhtar"
db_PLAYERS,P-0330,already_bilingual,"","","البهتيتي","Albhtyty"
db_PLAYERS,P-0331,already_bilingual,"","","علي فراج","Aly Fraj"
db_PLAYERS,P-0332,already_bilingual,"","","أحمد حسين","Ahmd Hsyn"
db_PLAYERS,P-0333,already_bilingual,"","","Armand Niamke","Armand Niamke"
db_PLAYERS,P-0335,already_bilingual,"","","حامد حمدان","Hamd Hmdan"
db_PLAYERS,P-0337,already_bilingual,"","","إبراهيم حسن عبد اللطيف","Ibrahym Hsn Abd Alltyf"
db_PLAYERS,P-0338,already_bilingual,"","","فاتح طالح","Fath Talh"
db_PLAYERS,P-0339,already_bilingual,"","","Robert Lewandowski","Robert Lewandowski"
db_PLAYERS,P-0342,already_bilingual,"","","أشرف داري","Ashrf Dary"
db_PLAYERS,P-0343,already_bilingual,"","","محمد عبدالمنعم","Mhmd Abdalmnam"
db_PLAYERS,P-0344,already_bilingual,"","","Thandani Ntshumayelo","Thandani Ntshumayelo"
db_PLAYERS,P-0345,already_bilingual,"","","علي فتحي","Aly Fthy"
db_PLAYERS,P-0347,already_bilingual,"","","Tarik El Jarmouni","Tarik El Jarmouni"
db_PLAYERS,P-0348,already_bilingual,"","","أحمد ناجي","Ahmd Najy"
db_PLAYERS,P-0350,already_bilingual,"","","Moumouni Diori","Moumouni Diori"
db_PLAYERS,P-0351,already_bilingual,"","","هشام عزمي","Hsham Azmy"
db_PLAYERS,P-0352,already_bilingual,"","","محمد رزق","Mhmd Rzq"
db_PLAYERS,P-0354,already_bilingual,"","","محمود حسن الأول","Mhmwd Hsn Alawl"
db_PLAYERS,P-0355,already_bilingual,"","","وسام أبو علي","Wsam Abw Aly"
db_PLAYERS,P-0356,already_bilingual,"","","Miguel Calero","Miguel Calero"
db_PLAYERS,P-0358,already_bilingual,"","","عبدالعزيز قابيل","Abdalazyz Qabyl"
db_PLAYERS,P-0359,already_bilingual,"","","علي ماهر","Aly Mahr"
db_PLAYERS,P-0361,already_bilingual,"","","Weverton Pereira","Weverton Pereira"
db_PLAYERS,P-0362,already_bilingual,"","","محمد سلام","Mhmd Slam"
db_PLAYERS,P-0364,already_bilingual,"","","بلال عطية","Blal Atyh"
db_PLAYERS,P-0365,already_bilingual,"","","شريف إكرامي","Shryf Ikramy"
db_PLAYERS,P-0368,already_bilingual,"","","حجاج","Hjaj"
db_PLAYERS,P-0369,already_bilingual,"","","حسام عاشور","Hsam Aashwr"
db_PLAYERS,P-0370,already_bilingual,"","","Alexander SCHOL","Alexander Schol"
db_PLAYERS,P-0371,already_bilingual,"","","محمد سالم","Mhmd Salm"
db_PLAYERS,P-0372,already_bilingual,"","","محمد أبو العلا","Mhmd Abw Alala"
db_PLAYERS,P-0373,already_bilingual,"","","Harold Moukoudi","Harold Moukoudi"
db_PLAYERS,P-0374,already_bilingual,"","","علاء علي","Ala Aly"
db_PLAYERS,P-0375,already_bilingual,"","","أيمن منصور","Aymn Mnswr"
db_PLAYERS,P-0376,already_bilingual,"","","محمود متولي","Mhmwd Mtwly"
db_PLAYERS,P-0377,already_bilingual,"","","هيثم الرشيد","Hythm Alrshyd"
db_PLAYERS,P-0378,already_bilingual,"","","إبراهيم المصري","Ibrahym Almsry"
db_PLAYERS,P-0379,already_bilingual,"","","Issoufou Hinsa","Issoufou Hinsa"
db_PLAYERS,P-0380,already_bilingual,"","","محمد عبدالله حمامة","Mhmd Abdallh Hmamh"
db_PLAYERS,P-0381,already_bilingual,"","","وسام العبدي","Wsam Alabdy"
db_PLAYERS,P-0382,already_bilingual,"","","Soumaila Coulibaly","Soumaila Coulibaly"
db_PLAYERS,P-0383,already_bilingual,"","","ممدوح مختار","Mmdwh Mkhtar"
db_PLAYERS,P-0384,already_bilingual,"","","السيد إسماعيل هدى","Alsyd Ismaayl Hda"
db_PLAYERS,P-0385,already_bilingual,"","","محمود عبدالدايم","Mhmwd Abdaldaym"
db_PLAYERS,P-0386,already_bilingual,"","","هشام محمد","Hsham Mhmd"
db_PLAYERS,P-0387,already_bilingual,"","","عبده سليم","Abdh Slym"
db_PLAYERS,P-0388,already_bilingual,"","","جمال ثعلب","Jmal Thalb"
db_PLAYERS,P-0389,already_bilingual,"","","Sunday Chibuike","Sunday Chibuike"
